code,flightnum,depicao,arricao,route,aircraft,flightlevel,distance,deptime,arrtime,flighttime,notes,price,flighttype,daysofweek,enabled," week1"," week2"," week3"," week4"
NST,0001,SBBR,SBCN,,E195NSV,290,118.356,08:00," 08:34"," 0.34"," ."," 393"," P"," 0123456"," 1"," "," "," "," "
NST,0002,SBCN,SBBW,,E195NSV,380,244.735,09:00," 09:49"," 0.49"," ."," 393"," P"," 0123456"," 1"," "," "," "," "
NST,0003,SBBW,SBCR,,A319NSV,340,357.202,10:00," 11:01"," 1.01"," ."," 393"," P"," 0123456"," 1"," "," "," "," "
NST,0004,SBCR,SBDB,,A319NSV,330,149.899,12:00," 12:51"," 0.51"," ."," 945"," P"," 0123456"," 1"," "," "," "," "
NST,0005,SBDB,SBFI,,A319NSV,330,284.316,13:00," 14:00"," 1"," ."," 393"," P"," 0123456"," 1"," "," "," "," "
NST,0006,SBFI,SBPA,,B738NSV,330,317.446,14:00," 15:27"," 1.27"," ."," 217"," P"," 0123456"," 1"," "," "," "," "
NST,0007,SBPA,SBFL,,A320NSV,230,196.281,16:00," 16:42"," 0.42"," ."," 326"," P"," 0123456"," 1"," "," "," "," "
NST,0008,SBFL,SBSP,,A319NSV,330,263.893,17:00," 17:47"," 0.47"," ."," 334"," P"," 0123456"," 1"," "," "," "," "
NST,0009,SBSP,SBRJ,,B738NSV,270,197.627,18:00," 18:40"," 0.4"," ."," 240"," P"," 0123456"," 1"," "," "," "," "
NST,0010,SBRJ,SBVT,,B738NSV,330,226.413,19:00," 20:22"," 1.22"," ."," 174"," P"," 0123456"," 1"," "," "," "," "
NST,0011,SBVT,SBPS,,E195NSV,230,239.657,21:00," 21:47"," 0.47"," ."," 274"," P"," 0123456"," 1"," "," "," "," "
NST,0012,SBPS,SBIL,,B738NSV,150,97.5699,22:00," 22:54"," 0.54"," ."," 285"," P"," 0123456"," 1"," "," "," "," "
NST,0013,SBIL,SBSV,,A320NSV,230,121.92,23:00," 23:34"," 0.34"," ."," 198"," P"," 0123456"," 1"," "," "," "," "
NST,0014,SBSV,SBAR,,A320NSV,230,137.129,08:00," 08:31"," 0.31"," ."," 296"," P"," 0123456"," 1"," "," "," "," "
NST,0015,SBAR,SBMO,,A320NSV,190,116.449,09:00," 09:56"," 0.56"," ."," 304"," P"," 0123456"," 1"," "," "," "," "
NST,0016,SBMO,SBRF,,B738NSV,150,97.8887,10:00," 10:30"," 0.3"," ."," 278"," P"," 0123456"," 1"," "," "," "," "
NST,0017,SBRF,SBJP,,A319NSV,110,58.9641,11:00," 11:28"," 0.28"," ."," 373"," P"," 0123456"," 1"," "," "," "," "
NST,0018,SBJP,SBFN,,E195NSV,330,248.898,12:00," 14:30"," 2.3"," ."," 393"," P"," 0123456"," 1"," "," "," "," "
NST,0019,SBFN,SBSG,,E195NSV,240,210.573,15:00," 15:49"," 0.49"," ."," 329"," P"," 0123456"," 1"," "," "," "," "
NST,0020,SBSG,SBFZ,,A320NSV,320,223.709,16:00," 16:51"," 0.51"," ."," 239"," P"," 0123456"," 1"," "," "," "," "
NST,0021,SBFZ,SBJE,,A319NSV,220,121.371,17:00," 17:32"," 0.32"," ."," 281"," P"," 0123456"," 1"," "," "," "," "
NST,0022,SBJE,SBSL,,E195NSV,340,233.51,18:00," 18:51"," 0.51"," ."," 301"," P"," 0123456"," 1"," "," "," "," "
NST,0023,SBSL,SBBE,,A320NSV,340,264.943,19:00," 19:52"," 0.52"," ."," 265"," P"," 0123456"," 1"," "," "," "," "
NST,0024,SBBE,SBBR,,B738NSV,320,871.58,20:00," 22:16"," 2.16"," ."," 391"," P"," 0123456"," 1"," "," "," "," "
NCS,100,SBGL,SBEG,,B748NCS,320,1539.28,08:00," 11:48"," 3.48"," 75"," 0"," C"," 0123456"," 1"," "," "," "," "
NSV,1001,SBRF,SBJU,"0736S03713W  JZR",B738NSV,180,264.599,08:00," 09:10"," 1.1"," ."," 198"," P"," 0123456"," 1"," "," "," "," "
NSV,1002,SBJU,SBRF,"JZR  0736S03713W  REC",B738NSV,190,264.599,10:00," 11:20"," 1.2"," ."," 198"," P"," 0123456"," 1"," "," "," "," "
NSV,1003,SBFZ,SBGL,"EDVAR UZ29 OGMUK",B738NSV,360,1176.54,08:00," 11:00"," 3.18"," ."," 312"," P"," 0123456"," 1"," "," "," "," "
NSV,1004,SBGL,SBFZ,"IMBAP UZ1 FLZ",B738NSV,330,1176.54,12:00," 15:00"," 3"," "," 312"," P"," 0123456"," 1"," "," "," "," "
NSV,1005,SBFZ,SBGL,"EDVAR UZ29 OGMUK",A320NSV,360,1176.54,08:00," 11:00"," 3.18"," ."," 312"," P"," 0123456"," 1"," "," "," "," "
NSV,1006,SBGL,SBFZ,"IMBAP UZ1 FLZ",A320NSV,330,1176.54,12:00," 15:00"," 3"," ."," 312"," P"," 0123456"," 1"," "," "," "," "
NSV,1007,SBFZ,SBGL,"EDVAR UZ29 OGMUK",E195NSV,360,1176.54,08:00," 11:00"," 3.18"," ."," 312"," P"," 0123456"," 1"," "," "," "," "
NSV,1008,SBGL,SBFZ,"IMBAP UZ1 FLZ",E195NSV,330,1176.54,12:00," 15:00"," 3"," ."," 312"," P"," 0123456"," 1"," "," "," "," "
NSV,1009,SBFZ,SBGL,"EDVAR UZ29 OGMUK",A319NSV,360,1176.54,08:00," 11:00"," 3.18"," ."," 312"," P"," 0123456"," 1"," "," "," "," "
NCS,101,SBGL,SBEG,,B748NCS,320,1539.28,08:00," 11:48"," 3.48"," 75"," 0"," C"," 0123456"," 1"," "," "," "," "
NSV,1010,SBGL,SBFZ,"IMBAP UZ1 FLZ",A319NSV,330,1176.54,12:00," 15:00"," 3"," ."," 312"," P"," 0123456"," 1"," "," "," "," "
NSV,1011,SBFZ,SBGL,"EDVAR UZ29 OGMUK",A320NSV,360,1176.54,08:00," 11:00"," 3.18"," ."," 312"," P"," 0123456"," 1"," "," "," "," "
NSV,1012,SBGL,SBFZ,"IMBAP UZ1 FLZ",A320NSV,330,1176.54,12:00," 15:00"," 3"," ."," 312"," P"," 0123456"," 1"," "," "," "," "
NSV,1013,SBFZ,SBRF,"EGBOL  KODSO  ILNOT",A319NSV,370,338.971,08:00," 09:10"," 1.1"," ."," 208"," P"," 0123456"," 1"," "," "," "," "
NSV,1014,SBRF,SBFZ,UZ81,A319NSV,360,338.971,10:00," 10:58"," 0.58"," ."," 208"," P"," 0123456"," 1"," "," "," "," "
NSV,1015,SBFZ,SBRF,"EGBOL  KODSO  ILNOT",B738NSV,370,338.971,08:00," 09:10"," 1.1"," ."," 208"," P"," 0123456"," 1"," "," "," "," "
NSV,1016,SBRF,SBFZ,UZ81,B738NSV,360,338.971,10:00," 10:58"," 0.58"," ."," 208"," P"," 0123456"," 1"," "," "," "," "
NSV,1017,SBFZ,SBRF,"EGBOL  KODSO  ILNOT",E195NSV,370,338.971,08:00," 09:10"," 1.1"," ."," 208"," P"," 0123456"," 1"," "," "," "," "
